Generation,Best CP,Best CO,Best CP_Score,Mean CP_Score,Routes
33,10.473988439306359,213.0,10.473988439306359,11.143188467851282,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
34,10.473988439306359,213.0,10.473988439306359,11.024561608376638,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
35,10.473988439306359,213.0,10.473988439306359,11.062180982320925,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
36,10.473988439306359,213.0,10.473988439306359,11.377226373419802,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
37,10.473988439306359,213.0,10.473988439306359,10.830556500056668,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
38,10.473988439306359,213.0,10.473988439306359,11.021426532505531,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
39,10.473988439306359,213.0,10.473988439306359,11.007742810247628,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
40,10.473988439306359,213.0,10.473988439306359,11.056374438021837,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
41,10.473988439306359,213.0,10.473988439306359,10.846794771650263,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
42,10.473988439306359,213.0,10.473988439306359,11.085299172004374,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
43,10.473988439306359,213.0,10.473988439306359,10.64445330321352,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
44,10.473988439306359,213.0,10.473988439306359,10.804439833341567,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
45,10.473988439306359,213.0,10.473988439306359,10.9277364895862,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
46,10.473988439306359,213.0,10.473988439306359,11.369685292228644,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
47,10.473988439306359,213.0,10.473988439306359,10.918754014129735,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
48,10.473988439306359,213.0,10.473988439306359,10.629287090558766,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
49,10.473988439306359,213.0,10.473988439306359,11.336577573571791,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
50,10.473988439306359,213.0,10.473988439306359,10.989515527087782,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
51,10.473988439306359,213.0,10.473988439306359,11.680289355373018,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
52,10.473988439306359,213.0,10.473988439306359,11.296577667675935,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
53,10.473988439306359,213.0,10.473988439306359,10.80453864268893,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
54,10.473988439306359,213.0,10.473988439306359,10.963026610425453,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
55,10.473988439306359,213.0,10.473988439306359,10.949728498861447,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
56,10.473988439306359,213.0,10.473988439306359,11.028975135333516,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
57,10.473988439306359,213.0,10.473988439306359,10.642852313828888,"[[11, 13, 10, 8, 6, 4, 2, 1], [1, 2, 5, 4, 6, 15, 9], [2, 3, 6, 8, 15, 7, 10, 14], [3, 2, 5, 4, 12, 11, 13, 14], [1, 2, 3, 6, 8, 10, 11, 13], [8, 10, 11, 12, 4, 6, 15, 7]]"
