Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
55,17.0398201669878,73.0,73.0,153.11111111111111,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
56,17.0398201669878,73.0,73.0,131.70454545454547,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
57,17.0398201669878,73.0,73.0,151.26666666666668,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
58,17.0398201669878,73.0,73.0,155.73469387755102,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
59,17.0398201669878,73.0,73.0,161.7659574468085,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
60,17.0398201669878,73.0,73.0,134.52272727272728,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
61,17.0398201669878,73.0,73.0,121.88372093023256,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
62,17.0398201669878,73.0,73.0,117.72727272727273,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
63,17.0398201669878,73.0,73.0,129.55555555555554,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
64,17.0398201669878,73.0,73.0,141.625,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
65,17.0398201669878,73.0,73.0,128.16666666666666,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
66,17.0398201669878,73.0,73.0,133.8409090909091,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
67,17.0398201669878,73.0,73.0,115.86363636363636,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
68,17.0398201669878,73.0,73.0,130.30434782608697,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
69,17.0398201669878,73.0,73.0,125.56521739130434,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
70,17.0398201669878,73.0,73.0,158.4468085106383,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
71,17.0398201669878,73.0,73.0,134.42857142857142,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
72,17.0398201669878,73.0,73.0,150.5909090909091,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
73,17.0398201669878,73.0,73.0,156.95238095238096,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
74,17.0398201669878,73.0,73.0,136.24444444444444,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
75,17.0398201669878,73.0,73.0,120.97560975609755,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
76,17.0398201669878,73.0,73.0,127.1951219512195,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
77,17.0398201669878,73.0,73.0,162.0,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
78,17.0398201669878,73.0,73.0,120.67441860465117,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
79,17.0398201669878,73.0,73.0,122.79545454545455,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
80,17.0398201669878,73.0,73.0,153.52083333333334,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
81,17.0398201669878,73.0,73.0,110.21951219512195,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
82,17.0398201669878,73.0,73.0,119.23255813953489,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
83,17.0398201669878,73.0,73.0,123.86666666666666,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
84,17.0398201669878,73.0,73.0,135.52380952380952,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
85,17.0398201669878,73.0,73.0,131.58695652173913,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
86,17.0398201669878,73.0,73.0,147.11111111111111,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
87,17.0398201669878,73.0,73.0,126.72093023255815,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
88,17.0398201669878,73.0,73.0,135.3409090909091,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
89,17.0398201669878,73.0,73.0,141.9375,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
90,17.0398201669878,73.0,73.0,129.88372093023256,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
91,17.0398201669878,73.0,73.0,160.15555555555557,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
92,17.0398201669878,73.0,73.0,137.8,"[[10, 7, 15], [3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [15, 8, 6, 4, 5, 2]]"
93,15.54335260115607,71.0,71.0,153.14583333333334,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
94,15.54335260115607,71.0,71.0,126.97674418604652,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
95,15.54335260115607,71.0,71.0,140.8409090909091,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
96,15.54335260115607,71.0,71.0,122.69047619047619,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
97,15.54335260115607,71.0,71.0,126.41463414634147,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
98,15.54335260115607,71.0,71.0,139.07142857142858,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
99,15.54335260115607,71.0,71.0,140.0909090909091,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
100,15.54335260115607,71.0,71.0,140.5581395348837,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
101,15.54335260115607,71.0,71.0,125.82926829268293,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
