Generation,Best CP,Best CO,Best Score,Mean Score,Routes
42,11.856775850995504,108.0,231769.5,273958.03125,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
43,11.856775850995504,108.0,231769.5,283662.256097561,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
44,11.856775850995504,108.0,231769.5,272760.21428571426,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
45,11.856775850995504,108.0,231769.5,285859.6,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
46,11.856775850995504,108.0,231769.5,291222.0,"[[10, 13, 14], [5, 4, 6, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
47,12.321772639691714,99.0,229423.5,293729.45454545453,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
48,12.321772639691714,99.0,229423.5,284291.1219512195,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
49,12.321772639691714,99.0,229423.5,284967.21428571426,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
50,12.321772639691714,99.0,229423.5,294702.1022727273,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
51,12.321772639691714,99.0,229423.5,289227.42307692306,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
52,12.321772639691714,99.0,229423.5,274024.9285714286,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
53,12.321772639691714,99.0,229423.5,307353.71428571426,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
54,12.321772639691714,99.0,229423.5,277794.2625,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
55,12.321772639691714,99.0,229423.5,289932.73333333334,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
56,12.321772639691714,99.0,229423.5,264432.84146341466,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
57,12.321772639691714,99.0,229423.5,268000.13513513515,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
