Generation,Best CP,Best CO,Best CP_Score,Mean CP_Score,Routes
27,10.294797687861271,255.0,10.294797687861271,11.375233866689006,"[[11, 10, 7, 15, 6, 3, 2, 1], [15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14]]"
28,10.294797687861271,255.0,10.294797687861271,11.9750201560557,"[[11, 10, 7, 15, 6, 3, 2, 1], [15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14]]"
29,10.294797687861271,255.0,10.294797687861271,11.249130271890387,"[[11, 10, 7, 15, 6, 3, 2, 1], [15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14]]"
30,10.294797687861271,255.0,10.294797687861271,11.064644292094217,"[[11, 10, 7, 15, 6, 3, 2, 1], [15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14]]"
31,10.294797687861271,255.0,10.294797687861271,12.76533746614169,"[[11, 10, 7, 15, 6, 3, 2, 1], [15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14]]"
32,10.284521515735388,255.0,10.284521515735388,11.206193033520547,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
33,10.280667951188182,263.0,10.280667951188182,11.623207022050954,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
34,10.280667951188182,263.0,10.280667951188182,11.485576463192992,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
35,10.280667951188182,263.0,10.280667951188182,11.785327618523322,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
36,10.280667951188182,263.0,10.280667951188182,12.07490187682866,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
37,10.280667951188182,263.0,10.280667951188182,11.244251766217085,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
38,10.280667951188182,263.0,10.280667951188182,11.662291265253694,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
39,10.280667951188182,263.0,10.280667951188182,11.34385547766436,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
40,10.280667951188182,263.0,10.280667951188182,11.390494540783559,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
41,10.280667951188182,263.0,10.280667951188182,11.25955711932088,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
42,10.280667951188182,263.0,10.280667951188182,11.236913937058446,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
