Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
36,13.890815671162493,85.0,85.0,144.9607843137255,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
37,13.890815671162493,85.0,85.0,154.3469387755102,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
38,13.890815671162493,85.0,85.0,150.7843137254902,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
39,13.890815671162493,85.0,85.0,146.20408163265307,"[[4, 5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
40,14.06422607578677,83.0,83.0,157.0204081632653,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [6, 8, 15], [4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
41,14.06422607578677,83.0,83.0,143.10416666666666,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [6, 8, 15], [4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
42,14.06422607578677,83.0,83.0,156.41176470588235,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [6, 8, 15], [4, 5], [6, 3, 2, 1], [6, 8, 15], [15, 9]]"
43,13.509955041746949,82.0,82.0,137.2608695652174,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [7, 10, 13, 14], [6, 4, 5], [7, 15], [2, 1], [15, 9]]"
44,13.509955041746949,82.0,82.0,142.36,"[[12, 11, 10, 7, 15, 8, 6, 4, 2, 3], [7, 10, 13, 14], [6, 4, 5], [7, 15], [2, 1], [15, 9]]"
45,15.355170199100835,77.0,77.0,177.16326530612244,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [6, 4], [6, 3], [2, 1], [7, 15, 9]]"
46,15.355170199100835,77.0,77.0,118.31914893617021,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [6, 4], [6, 3], [2, 1], [7, 15, 9]]"
47,15.355170199100835,77.0,77.0,139.6326530612245,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [6, 4], [6, 3], [2, 1], [7, 15, 9]]"
48,15.355170199100835,77.0,77.0,120.16326530612245,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [6, 4], [6, 3], [2, 1], [7, 15, 9]]"
49,15.355170199100835,77.0,77.0,117.48979591836735,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [6, 4], [6, 3], [2, 1], [7, 15, 9]]"
50,15.355170199100835,77.0,77.0,130.5686274509804,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [6, 4], [6, 3], [2, 1], [7, 15, 9]]"
